
6000000, 10, 1, 3.141546, 6.804145
6000000, 10, 2, 3.141512, 3.398788
6000000, 10, 3, 3.141811, 2.414735
6000000, 10, 4, 3.141976, 1.871540
6000000, 10, 5, 3.142081, 1.545108
6000000, 10, 6, 3.142085, 1.287839
6000000, 10, 7, 3.142030, 1.103577
6000000, 10, 8, 3.141891, 0.966177
6000000, 10, 9, 3.141755, 1.023337
6000000, 10, 10, 3.141816, 0.972674
6000000, 10, 11, 3.141754, 0.745765
6000000, 10, 12, 3.141616, 0.683513
6000000, 10, 13, 3.141504, 0.626603
6000000, 10, 14, 3.141707, 0.881241
6000000, 10, 15, 3.141880, 0.536356
6000000, 10, 16, 3.142051, 0.504344
6000000, 10, 4, 3.141976, 1.913291
7000000, 10, 4, 3.141966, 2.181558
8000000, 10, 4, 3.141813, 2.491646
9000000, 10, 4, 3.141690, 2.802404
10000000, 10, 4, 3.141784, 3.189923
11000000, 10, 4, 3.141865, 3.535132
12000000, 10, 4, 3.141777, 3.862187
13000000, 10, 4, 3.141752, 4.183130
14000000, 10, 4, 3.141789, 4.505076
15000000, 10, 4, 3.141877, 4.827500
